TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Attention,Meditation,A_M
2021-09-27 10:57:00.005,0.80116737,0.7816893,0.0,0.8855232,0.66464365,0.7736114000000001,0.0,0.8476072,0.68054134,0.45585683,0.0,0.7822076,0.5365715999999999,0.7225899,0.0,0.9637302,0.48156688,0.50416434,0.0,0.85907507,579.81683,780.87915,595.9341,352.96704,691.8315,-0.59228515625,0.01531982421875,0.81005859375,13.884429931640625,-12.867584228515625,-26.019287109375,32.0,61.0,-29.0
2021-09-27 10:57:01.002,0.80116737,0.94367385,0.0,0.8855232,0.66464365,0.74190813,0.0,0.8476072,0.68054134,0.86956024,0.0,0.7822076,0.5365715999999999,0.5393003000000001,0.0,0.9637302,0.48156688,0.21599652,0.0,0.85907507,650.7326,796.5934,619.707,568.9377400000002,592.71063,-0.40496826171875,0.00048828125,0.9456787109375,0.94207763671875,-6.29547119140625,-11.67877197265625,33.0,44.0,-11.0
2021-09-27 10:57:02.004,1.2907492,0.68243724,0.0,0.8855232,1.2240701,0.56700766,0.0,0.8476072,0.98501337,0.8440136999999999,0.0,0.7822076,0.71385384,0.54683656,0.0,0.9637302,0.35699052,0.54204184,0.0,0.85907507,624.1392,780.07324,600.7692,469.011,617.28937,-0.518310546875,-0.00726318359375,0.88494873046875,-9.233856201171877,4.0972900390625,22.26593017578125,31.0,36.0,-5.0
2021-09-27 10:57:03.003,1.5272604,0.8457425,0.0,1.2793521,1.3578483,0.4186467,0.0,0.9899685,0.8712426,0.67930853,0.0,0.77412057,0.76618135,0.4905055,0.0,0.55988735,0.35719687,0.5941906,0.0,0.62580717,607.2161,782.0879,438.7912,344.10257,760.7326,-0.56109619140625,-0.0233154296875,0.84893798828125,-2.564544677734375,1.547698974609375,5.15899658203125,30.0,36.0,-6.0
2021-09-27 10:57:04.003,0.41095075,0.82807916,0.0,0.98840135,0.5944297,0.4437939,0.0,0.7300354,0.68314725,0.56855917,0.0,0.8584086,0.53401595,0.5587258,0.0,0.5252629,0.8087975000000001,0.5724967,0.0,0.6897757,932.381,804.65204,980.32965,1156.4103,730.5128,-0.54986572265625,0.01519775390625,0.85687255859375,1.742095947265625,-2.489776611328125,0.3887939453125,22.0,41.0,-19.0
2021-09-27 10:57:05.018,0.32588896,0.64434594,0.0,0.3814496,0.20629469,0.45021233,0.0,0.340033,0.5219791,0.77024084,0.0,0.44338325,0.4559205,0.49934557,0.0,0.45350316,0.68128085,0.5364548000000001,0.0,0.5956254,929.5604,774.83514,900.54944,1102.0146,925.12823,-0.54766845703125,0.02703857421875,0.8646240234375,1.891632080078125,-3.22998046875,0.216827392578125,24.0,52.0,-28.0
2021-09-27 10:57:06.017,0.7769353,0.8561324,0.0,0.6422304,0.5320256999999999,0.8800644,0.0,0.423324,0.90547615,0.86545086,0.0,0.74164367,0.4085727,0.61126834,0.0,0.53919095,0.25163573,0.42176193,0.0,0.6424193,838.4981700000002,803.4432400000002,668.8644400000002,818.7546,1170.5128,-0.54486083984375,0.02496337890625,0.86212158203125,1.98883056640625,-3.626251220703125,0.037384033203125,23.0,55.00000000000001,-32.00000000000001
2021-09-27 10:57:07.055,0.8349446,0.834275,0.0,0.7517003999999999,0.76414144,0.80313706,0.0,0.61617243,1.0382117,0.8123781,0.0,0.81587875,0.4694854000000001,0.5589630999999999,0.0,0.6133196999999999,0.447866,0.46594596,0.0,0.7412125,804.2491,807.47253,938.8278,843.3333,550.0,-0.5447998046875,0.02679443359375,0.86322021484375,2.0635986328125,-3.5888671875,-0.545806884765625,25.0,56.99999999999999,-31.999999999999993
2021-09-27 10:57:08.001,0.176118,0.08238326,0.0,0.5054625,0.15493494,0.27970332,0.0,0.47291344,0.6544747,0.5957857,0.0,0.6891156999999999,0.3675653,0.43686992,0.0,0.66539854,0.30006894,0.48157912,0.0,0.73133045,994.83514,794.17584,834.87177,1288.9744,1452.1611,-0.54449462890625,0.023681640625,0.8631591796875,1.846771240234375,-3.401947021484375,-0.351409912109375,27.0,56.00000000000001,-29.000000000000007
2021-09-27 10:57:09.002,0.16367474,0.5381343000000001,0.0,0.8034059,0.06347557,0.22129934,0.0,0.6790932,0.4073977,0.749501,0.0,0.86613,0.2602387,0.39375874,0.0,0.7163139000000001,0.19551529,0.4818007,0.0,0.7475871000000001,846.9597,795.78754,753.4798599999998,896.9231,1133.0403,-0.54644775390625,0.02301025390625,0.85638427734375,1.742095947265625,-3.147735595703125,0.299072265625,30.0,52.0,-22.0
